發生地點,發生時間點,行政區,車種,受傷人數,緯度,經度
臺北市信義區松信路148號前0.0公尺,2020/12/22 下午 01:50:00,信義區,自用-小客車;自用-小客車,1,25.043605,121.572016
臺北市信義區松信路230號前0.0公尺,2020/8/10 上午 01:25:00,信義區,自用-小客車,1,25.041242,121.571878
臺北市信義區松信路66號前0.0公尺,2020/12/29 上午 09:33:00,信義區,普通輕型-機車;普通重型-機車,2,25.046457,121.57213
臺北市信義區松信路93號前0.0公尺,2020/6/14 上午 06:43:00,信義區,自用-小客車;普通重型-機車,1,25.045177,121.572128
臺北市信義區松信路93號前0.0公尺,2020/2/4 上午 09:40:00,信義區,普通輕型-機車;普通重型-機車,1,25.045237,121.572224
臺北市信義區松勇路 / 臺北市信義區松高路,2020/3/19 下午 07:45:00,信義區,自用-小客車;行人-人,1,25.039026,121.569799
臺北市信義區松勇路 / 臺北市信義區松高路,2020/10/21 下午 05:55:00,信義區,自用-小客車;行人-人,1,25.039026,121.569799
臺北市信義區松勇路 / 臺北市信義區松仁路,2020/5/19 上午 11:50:00,信義區,普通重型-機車;自用-小客車,1,25.036622,121.569727
臺北市信義區松勇路29號前0.0公尺,2020/2/23 下午 11:00:00,信義區,計程車-小客車;普通重型-機車,1,25.037874,121.569872
臺北市信義區松勇路31號前0.0公尺,2020/3/10 上午 12:13:00,信義區,普通重型-機車;營業用-大貨車,1,25.037057,121.569763
臺北市信義區松勇路前0.0公尺,2020/11/6 上午 07:40:00,信義區,小型輕型-機車;普通重型-機車,2,25.036844,121.569742
臺北市信義區松智路 / 臺北市信義區松高路,2020/3/22 下午 07:58:00,信義區,自用-小客車;租賃車-小客車;自用-小客車;自用-小客車;乘客-人;乘客-人;乘客-人;乘客-人,6,25.039018,121.565525
臺北市信義區松智路 / 臺北市信義區松高路,2020/12/18 下午 07:01:00,信義區,自用-小客車;普通重型-機車;普通重型-機車;民營公車-大客車,2,25.039037,121.565507
臺北市信義區松智路 / 臺北市信義區松高路,2020/10/16 上午 08:50:00,信義區,普通重型-機車,1,25.039087,121.565502
臺北市信義區松智路 / 臺北市信義區松高路,2020/1/21 下午 07:36:00,信義區,自用-小客車;大型重型2(250-550C.C.)-機車,1,25.039114,121.565502
臺北市信義區松智路 / 臺北市信義區松高路,2020/3/27 下午 03:53:00,信義區,計程車-小客車;普通重型-機車,1,25.039114,121.565502
臺北市信義區松智路 / 臺北市信義區松高路,2020/3/14 下午 02:07:00,信義區,計程車-小客車;普通重型-機車,1,25.039114,121.565502
臺北市信義區松智路 / 臺北市信義區松高路,2020/6/5 下午 01:37:00,信義區,普通重型-機車;自用-小客車;乘客-人,1,25.039114,121.565502
臺北市信義區松智路 / 臺北市信義區松高路,2020/3/25 下午 02:50:00,信義區,自用-小客車;普通重型-機車,1,25.039088,121.56546
臺北市信義區松智路 / 臺北市信義區松高路,2020/6/24 下午 07:50:00,信義區,普通重型-機車;自用-小客車;自用-小客車,1,25.039121,121.565578
臺北市信義區松智路 / 臺北市信義區松廉路,2020/10/9 下午 05:45:00,信義區,普通重型-機車,1,25.033984,121.565776
臺北市信義區松智路 / 臺北市信義區松廉路,2020/1/11 下午 03:00:00,信義區,自用-小客車;普通重型-機車,1,25.034003,121.56545
臺北市信義區松智路 / 臺北市信義區松廉路,2020/12/5 下午 07:45:00,信義區,計程車-小客車;行人-人,1,25.034005,121.565424
臺北市信義區松智路 / 臺北市信義區松廉路,2020/9/13 下午 11:45:00,信義區,普通重型-機車;計程車-小客車,2,25.034005,121.565424
臺北市信義區松智路 / 臺北市信義區松廉路,2020/12/7 下午 07:39:00,信義區,計程車-小客車;自用-小客車,2,25.034007,121.565427
臺北市信義區松智路 / 臺北市信義區松廉路,2020/11/26 下午 08:15:00,信義區,普通輕型-機車;乘客-人,2,25.034298,121.56535
臺北市信義區松智路 / 臺北市信義區松平路,2020/1/14 上午 08:23:00,信義區,自用-小客車;行人-人,1,25.030464,121.56538
臺北市信義區松智路 / 臺北市信義區松平路,2020/11/7 上午 09:29:00,信義區,普通重型-機車;普通重型-機車,2,25.030471,121.565375
臺北市信義區松智路 / 臺北市信義區松平路,2020/8/12 下午 08:18:00,信義區,租賃車-小客車;普通重型-機車,1,25.030502,121.565369
臺北市信義區松智路 / 臺北市信義區松平路,2020/8/4 下午 12:30:00,信義區,自用-小客車;普通重型-機車,1,25.030502,121.565369
臺北市信義區松智路 / 臺北市信義區松平路,2020/9/22 下午 08:25:00,信義區,計程車-小客車;普通重型-機車,1,25.030502,121.565369
臺北市信義區松智路 / 臺北市信義區松平路,2020/6/2 下午 10:00:00,信義區,計程車-小客車;腳踏自行車-慢車,1,25.030502,121.565369
臺北市信義區松智路 / 臺北市信義區松平路,2020/6/12 下午 06:40:00,信義區,計程車-小客車;腳踏自行車-慢車,1,25.03051,121.565354
臺北市信義區松智路 / 臺北市信義區松勤街,2020/10/24 上午 07:58:00,信義區,普通重型-機車;普通重型-機車,2,25.031948,121.56543
